hour_of_day,day_of_week,is_weekend,is_peak_hour,stop_count,distance_km,weather,congestion_index,passenger_load,actual_travel_time_minutes
20,6,1,0,4,2.7,1,0.211,0.499,11.8
15,4,0,0,14,12.8,4,0.661,0.327,72.6
14,1,0,0,4,9.3,1,0.196,0.599,35.9
8,1,0,1,7,23.0,2,0.897,0.432,104.2
9,3,0,1,3,21.0,2,0.785,0.362,84.5
21,3,0,0,14,28.8,2,0.366,0.459,123.6
19,4,0,1,7,10.2,0,0.779,0.8,49.8
11,5,1,0,12,14.4,3,0.26,0.276,60.9
14,1,0,0,14,26.3,2,0.306,0.342,95.1
12,4,0,0,3,26.7,0,0.308,0.428,94.7
16,5,1,0,9,13.9,4,0.348,0.25,59.1
12,4,0,0,11,22.8,1,0.295,0.319,78.8
5,5,1,0,7,29.0,0,0.207,0.548,100.1
22,6,1,0,11,8.1,0,0.123,0.616,37.1
14,5,1,0,14,5.0,0,0.246,0.244,26.4
9,0,0,1,6,29.6,1,0.573,0.843,116.4
17,5,1,1,5,25.0,4,0.636,0.975,122.4
5,1,0,0,3,12.5,2,0.422,0.573,49.8
5,1,0,0,11,13.6,0,0.301,0.407,56.3
18,0,0,1,5,9.7,0,0.604,0.178,41.8
22,3,0,0,3,17.5,1,0.275,0.546,68.6
11,5,1,0,14,29.5,1,0.288,0.524,127.0
6,3,0,0,11,16.4,2,0.613,0.193,83.2
9,1,0,1,8,15.8,0,0.77,0.682,67.6
20,6,1,0,13,5.9,1,0.149,0.241,43.0
22,4,0,0,12,8.3,2,0.418,0.208,34.3
10,0,0,0,7,14.9,0,0.306,0.058,53.3
15,6,1,0,3,9.8,2,0.371,0.29,40.9
18,1,0,1,14,12.3,1,0.782,0.747,61.0
10,2,0,0,5,8.8,0,0.308,0.372,32.4
11,5,1,0,12,17.0,0,0.165,0.083,59.8
8,6,1,1,8,18.4,2,0.897,0.642,87.2
6,2,0,0,10,16.0,0,0.238,0.211,63.6
19,5,1,1,8,9.2,0,0.615,0.715,45.5
17,3,0,1,7,7.2,0,0.465,0.707,25.8
9,5,1,1,13,28.1,0,0.658,0.588,99.9
14,3,0,0,4,11.0,2,0.534,0.231,46.6
7,5,1,1,3,25.8,2,0.916,0.624,112.2
12,2,0,0,11,23.0,2,0.406,0.469,101.8
17,1,0,1,11,21.1,1,0.738,0.738,105.5
19,0,0,1,11,12.0,0,0.431,0.915,54.0
19,6,1,1,3,16.9,3,0.896,0.631,78.4
5,5,1,0,6,18.0,2,0.315,0.524,72.6
12,4,0,0,6,22.2,2,0.352,0.608,96.5
15,2,0,0,7,25.2,4,0.332,0.298,118.1
17,5,1,1,4,19.1,0,0.512,0.716,77.1
9,6,1,1,12,23.6,0,0.388,0.629,90.3
5,6,1,0,8,16.5,1,0.161,0.312,59.0
13,2,0,0,6,17.0,4,0.321,0.206,68.2
16,2,0,0,5,9.0,1,0.274,0.556,32.5
22,4,0,0,3,7.0,4,0.423,0.234,31.8
5,4,0,0,9,14.0,2,0.466,0.333,54.0
20,2,0,0,4,10.2,2,0.693,0.692,53.8
8,0,0,1,10,26.1,4,0.76,0.825,121.1
22,6,1,0,10,2.8,0,0.272,0.231,14.2
7,2,0,1,3,17.6,2,0.879,0.702,85.3
20,3,0,0,6,20.7,0,0.359,0.354,62.1
6,0,0,0,7,11.6,0,0.476,0.597,39.6
9,4,0,1,8,23.7,0,0.723,0.739,101.0
21,1,0,0,5,16.3,2,0.483,0.281,76.9
15,5,1,0,6,5.7,4,0.46,0.573,36.3
13,5,1,0,4,17.5,1,0.213,0.33,62.2
10,2,0,0,10,9.0,1,0.576,0.368,53.8
18,1,0,1,14,28.8,0,0.478,0.666,132.5
11,2,0,0,8,15.3,1,0.31,0.427,55.8
17,2,0,1,4,19.5,1,0.616,0.543,70.2
12,1,0,0,11,8.9,2,0.513,0.546,37.9
16,2,0,0,13,28.9,2,0.564,0.433,145.3
20,2,0,0,10,19.9,2,0.534,0.605,97.2
13,4,0,0,12,3.1,2,0.523,0.523,19.1
11,0,0,0,5,27.9,4,0.446,0.502,122.9
14,6,1,0,3,20.2,0,0.289,0.272,83.9
15,1,0,0,9,13.3,1,0.318,0.608,57.2
17,1,0,1,14,8.5,0,0.932,0.807,54.5
11,5,1,0,6,3.5,0,0.198,0.317,16.2
11,3,0,0,7,22.5,0,0.148,0.121,74.4
22,5,1,0,7,3.2,0,0.197,0.435,14.6
9,4,0,1,7,4.5,0,0.832,0.693,27.6
11,3,0,0,6,8.5,4,0.567,0.643,42.3
13,0,0,0,12,23.8,0,0.247,0.613,84.8
7,2,0,1,8,19.4,2,0.436,0.568,77.5
6,3,0,0,12,24.7,1,0.297,0.272,96.5
19,5,1,1,10,21.5,0,0.651,0.705,96.3
17,4,0,1,3,26.6,2,1.0,0.823,136.6
14,3,0,0,13,23.1,0,0.263,0.275,91.7
18,4,0,1,14,2.2,0,0.646,0.704,19.1
17,2,0,1,8,9.9,0,0.595,0.866,44.7
8,1,0,1,6,10.4,2,0.738,0.429,56.2
22,1,0,0,14,23.0,0,0.457,0.39,83.3
8,0,0,1,5,14.6,0,0.698,0.547,62.8
18,3,0,1,8,5.7,3,0.754,0.615,35.4
7,0,0,1,11,22.0,1,0.727,0.518,99.9
12,6,1,0,13,25.7,2,0.256,0.448,100.5
18,6,1,1,11,2.0,1,0.653,0.755,14.0
6,2,0,0,3,2.3,0,0.255,0.036,11.4
5,3,0,0,8,27.4,2,0.341,0.307,110.5
18,6,1,1,8,19.3,2,0.63,0.706,80.7
11,1,0,0,12,24.4,0,0.272,0.61,90.0
10,0,0,0,9,19.2,0,0.427,0.484,88.6
20,3,0,0,8,24.9,1,0.279,0.46,111.1
15,1,0,0,8,18.6,1,0.537,0.336,88.2
16,1,0,0,8,22.1,0,0.28,0.231,83.4
19,0,0,1,9,15.0,3,0.82,0.936,68.7
6,3,0,0,4,18.7,2,0.65,0.267,73.6
22,4,0,0,3,5.7,2,0.482,0.356,26.6
19,5,1,1,10,18.2,1,0.392,0.501,80.6
7,4,0,1,7,11.1,2,0.685,0.772,43.9
13,0,0,0,7,9.0,1,0.325,0.274,37.5
15,4,0,0,7,16.9,2,0.403,0.669,83.6
22,5,1,0,4,5.4,0,0.431,0.422,20.6
9,4,0,1,13,10.9,1,0.526,0.768,64.0
22,6,1,0,14,16.9,0,0.0,0.41,55.9
5,6,1,0,10,6.4,0,0.19,0.396,27.3
21,3,0,0,13,28.1,1,0.317,0.239,118.4
20,4,0,0,11,5.0,1,0.294,0.449,33.1
13,2,0,0,6,20.2,2,0.594,0.383,97.6
17,0,0,1,9,14.2,2,0.669,0.702,60.9
5,0,0,0,3,14.4,0,0.136,0.222,47.0
6,5,1,0,11,12.6,3,0.1,0.744,45.8
6,4,0,0,14,15.3,0,0.147,0.644,64.0
15,4,0,0,7,7.5,0,0.376,0.442,29.8
6,5,1,0,6,9.2,0,0.255,0.546,33.4
20,1,0,0,6,22.1,0,0.194,0.409,72.2
21,1,0,0,12,27.7,0,0.351,0.472,80.8
17,6,1,1,8,24.9,3,0.668,0.506,106.9
9,3,0,1,4,22.5,3,0.782,0.788,113.3
22,4,0,0,3,22.6,3,0.431,0.381,103.2
15,1,0,0,11,12.9,1,0.462,0.447,54.7
22,2,0,0,12,14.0,2,0.507,0.644,59.5
13,6,1,0,6,14.4,2,0.279,0.322,59.9
12,5,1,0,10,20.2,1,0.083,0.215,83.8
12,5,1,0,14,4.5,4,0.392,0.597,30.1
14,5,1,0,11,25.0,0,0.0,0.325,80.2
5,0,0,0,7,4.6,0,0.376,0.464,23.8
16,5,1,0,6,21.8,0,0.093,0.267,58.0
8,1,0,1,9,6.5,2,0.873,0.401,42.6
21,1,0,0,8,24.9,0,0.357,0.49,87.6
6,2,0,0,4,8.3,4,0.374,0.507,39.6
5,3,0,0,3,19.0,2,0.451,0.203,74.5
12,4,0,0,4,16.2,0,0.201,0.436,51.0
22,4,0,0,14,25.8,0,0.305,0.365,104.1
6,1,0,0,11,3.6,4,0.248,0.422,29.9
13,2,0,0,7,5.4,0,0.33,0.306,21.9
21,4,0,0,9,8.2,0,0.3,0.543,38.7
9,3,0,1,5,12.3,0,0.836,0.814,50.5
10,6,1,0,7,23.3,0,0.0,0.178,68.1
22,4,0,0,7,7.6,0,0.288,0.335,29.6
8,1,0,1,6,8.8,1,0.965,0.852,46.3
14,4,0,0,3,28.7,2,0.564,0.232,126.6
12,4,0,0,14,19.8,1,0.251,0.441,87.3
17,2,0,1,7,22.6,1,0.668,0.728,89.1
18,3,0,1,13,29.2,4,1.0,0.539,142.8
12,1,0,0,8,4.3,1,0.317,0.437,20.4
22,1,0,0,7,5.5,1,0.288,0.394,26.4
20,3,0,0,4,5.6,0,0.196,0.105,21.8
16,2,0,0,3,20.1,0,0.315,0.446,70.7
13,6,1,0,4,19.8,0,0.071,0.435,63.8
17,1,0,1,4,5.7,2,0.815,0.705,27.3
17,5,1,1,13,23.2,2,0.75,0.572,108.3
20,0,0,0,14,22.3,4,0.427,0.369,106.3
15,0,0,0,12,22.8,2,0.604,0.542,119.0
14,1,0,0,12,3.0,2,0.713,0.183,18.9
10,2,0,0,7,5.5,0,0.421,0.493,24.6
12,6,1,0,7,2.8,0,0.112,0.338,13.1
11,3,0,0,5,3.8,1,0.486,0.683,21.3
21,6,1,0,5,3.6,0,0.259,0.504,19.1
20,4,0,0,6,5.4,2,0.386,0.203,25.1
17,0,0,1,3,19.9,1,0.623,0.828,89.1
9,0,0,1,6,12.1,0,0.522,0.435,52.1
9,3,0,1,3,14.2,4,0.842,0.627,75.8
7,0,0,1,10,22.4,2,0.598,0.745,108.3
16,1,0,0,8,9.3,0,0.312,0.366,37.4
14,0,0,0,8,3.8,1,0.058,0.533,18.7
19,6,1,1,7,3.5,0,0.487,0.819,15.5
21,2,0,0,5,29.2,1,0.219,0.353,93.9
11,5,1,0,9,17.3,4,0.269,0.326,70.4
11,5,1,0,3,17.2,0,0.093,0.0,49.7
20,2,0,0,9,17.3,0,0.501,0.61,70.3
21,6,1,0,7,6.6,0,0.212,0.644,24.5
13,1,0,0,14,23.6,0,0.351,0.391,91.9
5,1,0,0,6,24.4,0,0.08,0.244,65.3
16,1,0,0,10,10.0,2,0.424,0.681,56.0
19,6,1,1,10,16.6,0,0.605,0.532,84.7
12,4,0,0,14,25.0,0,0.318,0.271,111.4
17,6,1,1,7,20.7,1,0.431,0.848,80.4
5,3,0,0,11,25.0,0,0.273,0.444,88.0
13,3,0,0,8,17.1,2,0.42,0.107,63.4
6,5,1,0,5,26.6,1,0.139,0.331,85.2
5,4,0,0,5,6.0,0,0.462,0.352,23.4
9,3,0,1,13,25.6,0,0.634,0.627,109.5
19,6,1,1,8,26.0,0,0.738,0.498,94.5
7,0,0,1,7,13.4,2,0.934,0.803,63.6
19,1,0,1,5,27.4,1,0.655,0.554,116.2
7,2,0,1,13,13.8,0,0.832,0.667,76.6
18,2,0,1,5,23.1,2,0.744,0.621,108.2
12,0,0,0,11,2.3,1,0.484,0.52,15.1
18,5,1,1,11,3.3,4,0.901,0.957,33.9
16,2,0,0,13,29.9,3,0.385,0.29,137.7
7,3,0,1,3,22.7,1,0.458,0.736,80.2
12,4,0,0,5,14.5,2,0.439,0.61,64.7
8,5,1,1,14,15.7,1,0.833,0.792,77.7
22,0,0,0,14,18.9,4,0.469,0.372,83.7
17,0,0,1,5,7.5,1,0.592,0.481,34.7
21,5,1,0,12,10.2,4,0.292,0.283,54.1
11,6,1,0,11,2.8,1,0.194,0.311,24.1
16,4,0,0,7,9.2,1,0.188,0.558,37.0
9,0,0,1,13,2.1,2,0.981,0.519,25.5
19,3,0,1,10,23.0,0,0.551,0.777,93.9
13,1,0,0,4,26.9,1,0.186,0.401,87.7
10,2,0,0,7,27.3,0,0.268,0.228,90.8
16,2,0,0,13,15.6,1,0.104,0.51,69.6
15,1,0,0,6,20.8,0,0.343,0.55,70.1
6,2,0,0,5,26.0,4,0.268,0.296,121.9
8,3,0,1,3,16.7,1,0.383,0.639,64.1
19,3,0,1,5,2.7,1,0.635,0.669,16.7
9,1,0,1,6,18.2,1,0.413,0.533,70.1
18,5,1,1,13,12.9,0,0.381,0.94,53.1
10,3,0,0,4,25.1,4,0.473,0.169,99.7
8,4,0,1,7,15.4,1,0.616,0.626,69.8
21,4,0,0,14,8.6,2,0.535,0.214,50.6
7,4,0,1,4,15.7,0,0.827,0.835,61.6
12,3,0,0,7,15.3,1,0.35,0.438,63.3
16,5,1,0,7,22.9,1,0.216,0.341,82.4
16,3,0,0,6,26.2,1,0.365,0.183,90.5
19,2,0,1,13,27.7,0,0.707,0.843,134.4
11,4,0,0,5,7.6,0,0.47,0.371,36.3
12,2,0,0,8,9.2,0,0.389,0.518,50.0
20,3,0,0,4,11.3,2,0.496,0.617,51.5
22,1,0,0,3,4.5,0,0.288,0.347,18.0
7,1,0,1,10,13.2,2,0.749,0.771,59.0
17,4,0,1,4,2.2,0,0.689,0.75,13.7
6,1,0,0,12,13.3,0,0.138,0.285,50.8
18,5,1,1,9,27.4,0,0.606,0.514,100.0
21,6,1,0,9,26.3,1,0.32,0.433,112.0
22,5,1,0,4,22.0,2,0.374,0.605,89.9
22,3,0,0,9,6.4,3,0.399,0.483,34.9
21,6,1,0,11,2.0,1,0.167,0.423,19.7
15,0,0,0,3,5.6,1,0.413,0.431,26.6
17,2,0,1,3,12.6,4,0.926,0.717,63.9
15,4,0,0,7,29.0,2,0.491,0.413,122.5
16,4,0,0,12,4.9,1,0.398,0.354,30.0
7,3,0,1,11,3.5,2,0.692,0.749,23.4
13,5,1,0,13,22.5,1,0.265,0.513,87.5
8,1,0,1,5,10.8,1,0.602,0.565,51.9
15,2,0,0,11,25.1,2,0.357,0.415,109.7
6,5,1,0,3,5.5,0,0.182,0.016,19.4
15,0,0,0,6,3.2,0,0.273,0.635,14.2
16,2,0,0,8,2.5,2,0.416,0.364,16.0
5,6,1,0,12,8.3,1,0.377,0.676,47.1
13,2,0,0,10,23.9,2,0.463,0.059,94.1
7,4,0,1,11,28.2,1,0.659,0.634,146.7
15,6,1,0,14,23.8,0,0.243,0.515,104.8
14,2,0,0,5,6.1,2,0.32,0.637,26.5
10,5,1,0,14,17.1,0,0.074,0.567,74.9
13,2,0,0,10,5.8,4,0.289,0.428,32.2
10,5,1,0,8,23.3,1,0.222,0.374,76.6
10,4,0,0,10,7.9,0,0.345,0.456,29.1
22,2,0,0,9,4.0,1,0.346,0.464,25.4
17,1,0,1,10,23.6,0,0.718,0.667,111.5
16,0,0,0,7,2.3,0,0.342,0.212,14.0
6,6,1,0,10,24.6,0,0.144,0.181,86.8
11,0,0,0,5,13.0,2,0.512,0.12,63.2
22,3,0,0,3,8.7,0,0.147,0.405,26.5
8,4,0,1,13,17.8,0,0.667,0.673,81.2
11,1,0,0,10,13.2,2,0.308,0.432,59.3
18,3,0,1,11,12.2,0,0.601,0.564,59.4
8,1,0,1,10,11.9,2,0.744,0.693,59.2
13,0,0,0,11,3.7,0,0.367,0.27,21.1
7,2,0,1,8,22.4,4,0.839,0.823,105.3
9,0,0,1,13,9.6,0,0.533,0.806,45.2
12,0,0,0,13,13.6,2,0.275,0.42,52.4
20,3,0,0,11,5.6,1,0.271,0.507,28.4
21,0,0,0,10,6.5,0,0.258,0.541,27.1
7,0,0,1,3,22.4,1,0.673,0.341,92.1
8,1,0,1,3,2.7,2,0.502,0.646,14.6
21,2,0,0,7,16.1,2,0.582,0.364,77.0
7,2,0,1,14,8.3,3,0.998,0.924,53.1
12,6,1,0,10,28.2,3,0.485,0.404,126.3
12,3,0,0,3,17.4,0,0.197,0.197,61.9
18,4,0,1,8,8.9,0,0.438,0.886,32.0
19,6,1,1,6,29.5,2,0.796,0.646,144.2
13,0,0,0,10,3.9,1,0.283,0.365,23.8
13,0,0,0,13,16.6,0,0.339,0.768,75.1
10,5,1,0,12,18.9,0,0.411,0.318,75.8
7,6,1,1,4,9.5,0,0.771,0.528,37.3
8,2,0,1,14,2.1,0,0.628,1.0,16.5
20,4,0,0,13,23.6,1,0.25,0.379,98.5
13,3,0,0,5,28.8,0,0.284,0.342,101.1
20,5,1,0,3,15.9,2,0.423,0.352,64.8
8,4,0,1,13,22.3,0,0.707,0.935,106.2
17,6,1,1,3,24.9,0,0.666,0.664,89.1
5,2,0,0,4,12.4,0,0.112,0.359,42.9
17,5,1,1,5,19.3,2,0.695,0.706,88.4
11,0,0,0,14,12.3,3,0.527,0.566,68.9
15,2,0,0,14,25.3,1,0.185,0.417,100.2
15,1,0,0,11,7.6,1,0.03,0.28,23.0
19,0,0,1,9,22.0,0,0.771,0.713,107.7
19,3,0,1,5,5.1,0,0.689,0.715,21.5
17,6,1,1,9,28.7,0,0.577,0.701,115.6
17,2,0,1,9,7.4,3,0.768,0.726,46.2
13,4,0,0,7,13.5,2,0.428,0.039,61.6
9,5,1,1,14,16.4,0,0.466,0.658,71.5
8,1,0,1,11,7.9,0,0.469,0.565,38.1
15,4,0,0,11,13.6,0,0.456,0.681,62.3
5,4,0,0,4,11.2,1,0.264,0.408,43.5
11,1,0,0,3,7.8,0,0.493,0.38,31.0
5,0,0,0,3,26.0,1,0.394,0.366,100.4
13,0,0,0,11,26.5,0,0.336,0.342,92.9
6,0,0,0,5,2.4,0,0.21,0.299,9.0
12,3,0,0,14,17.3,4,0.441,0.518,73.3
14,4,0,0,5,8.2,0,0.238,0.372,34.1
15,2,0,0,13,25.3,2,0.422,0.617,93.5
19,0,0,1,6,23.5,1,0.81,0.794,110.0
16,4,0,0,13,6.8,0,0.214,0.444,40.7
7,4,0,1,12,26.9,1,0.68,0.517,115.4
12,4,0,0,13,26.1,3,0.385,0.541,126.6
6,1,0,0,14,14.4,1,0.292,0.482,75.2
7,5,1,1,3,16.8,2,0.742,0.835,69.5
14,6,1,0,7,24.8,2,0.28,0.487,86.8
12,0,0,0,7,9.3,0,0.443,0.35,41.1
18,1,0,1,8,14.0,0,0.61,0.945,62.6
5,5,1,0,8,4.7,4,0.312,0.574,27.8
14,2,0,0,13,8.8,0,0.198,0.363,36.9
15,5,1,0,14,20.3,0,0.14,0.6,71.0
19,2,0,1,12,17.8,1,0.923,0.963,94.5
14,4,0,0,13,18.2,1,0.456,0.353,84.5
9,6,1,1,13,15.1,0,0.536,0.869,77.0
22,2,0,0,9,26.2,0,0.301,0.43,94.0
13,5,1,0,12,17.5,2,0.314,0.592,73.4
21,4,0,0,4,2.5,2,0.397,0.633,15.9
10,2,0,0,14,15.7,0,0.324,0.227,62.8
12,3,0,0,10,18.6,2,0.527,0.431,87.2
18,5,1,1,13,7.9,3,0.879,0.579,49.4
12,6,1,0,7,3.7,0,0.207,0.451,21.9
18,2,0,1,4,4.0,0,0.396,0.665,15.6
7,4,0,1,11,29.1,0,0.559,0.608,124.5
14,6,1,0,14,11.9,1,0.162,0.45,49.9
15,3,0,0,7,15.4,2,0.365,0.238,55.9
21,0,0,0,9,29.6,0,0.2,0.547,94.0
22,2,0,0,14,23.8,3,0.341,0.459,95.2
21,0,0,0,10,12.4,0,0.47,0.389,58.6
11,0,0,0,5,24.4,0,0.294,0.293,94.6
12,4,0,0,3,24.9,1,0.309,0.659,92.9
12,0,0,0,13,6.0,1,0.292,0.312,27.9
17,5,1,1,4,27.3,1,0.369,0.84,99.5
9,5,1,1,6,20.8,0,0.539,0.646,83.1
17,4,0,1,12,24.2,1,0.711,0.522,109.4
22,2,0,0,9,10.2,0,0.209,0.444,39.4
21,3,0,0,11,21.7,1,0.308,0.642,86.9
18,5,1,1,4,6.8,0,0.522,0.721,23.9
13,3,0,0,12,23.7,0,0.157,0.522,91.5
20,0,0,0,14,22.3,0,0.376,0.172,89.0
5,2,0,0,10,7.6,0,0.491,0.53,37.0
12,6,1,0,10,12.8,0,0.218,0.63,47.3
15,0,0,0,7,28.9,1,0.288,0.432,96.5
6,5,1,0,9,18.8,1,0.315,0.502,71.2
17,3,0,1,12,22.0,2,0.776,0.666,101.7
12,0,0,0,14,7.2,0,0.175,0.236,43.3
6,2,0,0,12,2.1,0,0.326,0.509,15.4
7,1,0,1,13,3.6,0,0.477,0.558,27.8
22,3,0,0,14,27.5,0,0.19,0.539,89.3
21,3,0,0,8,6.9,1,0.194,0.452,32.1
18,3,0,1,11,6.6,0,0.636,0.807,40.1
7,5,1,1,10,20.4,3,0.69,0.77,102.0
17,4,0,1,9,12.1,0,0.708,0.667,62.7
15,3,0,0,14,4.9,0,0.451,0.138,38.8
13,6,1,0,12,14.1,0,0.159,0.683,45.1
14,5,1,0,12,25.1,2,0.415,0.075,104.0
19,0,0,1,3,17.6,0,0.82,0.664,73.0
19,5,1,1,13,23.9,0,0.435,0.679,90.6
19,4,0,1,12,13.4,0,0.703,0.767,65.8
19,2,0,1,13,3.2,1,0.624,0.811,28.7
16,4,0,0,3,27.2,4,0.61,0.346,110.1
19,6,1,1,6,17.6,0,0.702,0.634,71.1
6,6,1,0,5,8.5,1,0.235,0.362,36.1
20,2,0,0,12,10.8,0,0.369,0.327,52.4
17,6,1,1,7,2.2,4,0.647,0.644,15.1
13,4,0,0,12,18.0,0,0.259,0.386,73.8
9,5,1,1,10,24.6,4,0.599,0.828,128.3
18,0,0,1,4,5.4,4,0.671,0.506,29.9
6,4,0,0,10,13.7,2,0.366,0.366,61.5
6,1,0,0,5,8.6,2,0.616,0.382,40.6
6,3,0,0,11,13.7,0,0.308,0.322,54.4
10,0,0,0,14,10.8,0,0.259,0.254,54.5
6,1,0,0,13,17.0,1,0.244,0.457,63.5
21,3,0,0,7,4.5,0,0.269,0.184,21.1
18,1,0,1,9,3.4,1,0.529,0.455,22.7
9,2,0,1,9,6.3,0,0.462,0.527,28.0
9,5,1,1,6,18.4,0,0.511,0.515,75.3
19,0,0,1,6,20.8,2,0.803,0.772,92.8
8,4,0,1,14,4.3,4,0.757,0.867,34.7
6,2,0,0,6,14.5,1,0.371,0.401,68.2
11,4,0,0,13,9.8,0,0.322,0.273,44.5
15,3,0,0,3,20.3,2,0.284,0.469,84.7
15,1,0,0,13,29.0,0,0.199,0.348,100.5
5,4,0,0,10,22.9,0,0.294,0.561,81.0
13,1,0,0,12,18.6,0,0.42,0.472,89.3
8,5,1,1,13,19.7,2,0.66,0.758,101.7
11,4,0,0,12,17.3,2,0.476,0.351,85.5
17,3,0,1,8,16.7,1,0.757,0.796,86.0
22,5,1,0,5,9.1,2,0.27,0.344,37.8
21,4,0,0,9,17.6,0,0.279,0.286,65.6
12,2,0,0,13,2.0,2,0.32,0.286,15.4
7,4,0,1,11,17.5,2,0.779,0.619,78.9
16,6,1,0,13,25.2,4,0.27,0.372,108.4
19,0,0,1,3,15.7,3,0.925,0.552,89.7
9,2,0,1,14,21.4,2,0.876,0.863,104.7
19,4,0,1,8,8.5,0,0.71,0.429,40.1
17,3,0,1,11,4.4,0,0.65,1.0,26.9
10,1,0,0,13,9.6,0,0.348,0.654,43.6
7,2,0,1,6,22.4,0,0.556,0.678,74.3
9,5,1,1,7,10.8,0,0.711,0.546,55.2
15,0,0,0,9,14.7,0,0.322,0.253,58.2
5,3,0,0,5,20.4,4,0.433,0.09,87.3
19,5,1,1,10,29.6,0,0.503,1.0,93.3
11,5,1,0,3,28.7,0,0.081,0.767,81.6
10,2,0,0,6,10.3,0,0.28,0.412,36.4
11,5,1,0,4,26.4,1,0.269,0.566,89.3
15,2,0,0,11,13.1,0,0.293,0.389,49.1
20,5,1,0,12,15.2,1,0.217,0.306,60.4
16,5,1,0,6,23.9,0,0.256,0.278,81.2
9,5,1,1,11,27.1,0,0.383,0.468,115.8
16,6,1,0,3,17.9,0,0.17,0.41,54.7
22,3,0,0,8,8.1,0,0.274,0.449,35.7
6,3,0,0,8,15.1,0,0.289,0.418,55.6
17,5,1,1,7,18.9,2,0.674,0.804,77.0
19,2,0,1,5,22.8,0,0.782,0.65,95.9
19,3,0,1,5,3.7,0,0.73,0.852,20.1
17,4,0,1,11,27.7,2,0.902,0.839,149.1
12,0,0,0,11,28.2,4,0.277,0.497,134.9
8,0,0,1,9,29.7,1,0.751,0.548,145.8
19,0,0,1,10,20.3,1,0.645,0.708,99.6
11,5,1,0,7,4.7,0,0.262,0.556,23.6
19,4,0,1,4,19.6,1,0.748,0.879,79.8
17,3,0,1,10,13.2,0,0.843,0.62,59.8
5,2,0,0,14,24.5,3,0.61,0.424,112.9
7,5,1,1,9,17.9,0,0.417,0.982,57.3
15,2,0,0,9,18.5,4,0.34,0.213,82.2
11,6,1,0,13,18.0,0,0.32,0.306,77.5
17,0,0,1,7,22.6,1,0.539,0.64,88.4
21,3,0,0,11,7.1,0,0.384,0.374,31.3
6,2,0,0,9,18.1,0,0.239,0.267,61.6
5,3,0,0,11,2.6,3,0.544,0.428,22.6
20,5,1,0,5,9.2,0,0.331,0.342,35.4
22,1,0,0,11,17.5,1,0.492,0.217,63.5
13,6,1,0,6,20.2,1,0.209,0.384,78.6
22,6,1,0,4,24.9,0,0.117,0.501,66.7
13,5,1,0,7,2.0,4,0.458,0.128,17.0
13,3,0,0,9,10.8,0,0.356,0.428,45.4
22,3,0,0,14,3.5,0,0.373,0.389,28.6
10,2,0,0,12,6.1,0,0.403,0.187,31.5
20,0,0,0,6,24.3,0,0.278,0.317,87.0
8,6,1,1,5,24.1,4,0.594,1.0,109.0
10,1,0,0,9,25.9,0,0.388,0.423,90.7
6,3,0,0,5,7.0,0,0.217,0.384,26.6
11,0,0,0,3,18.7,0,0.369,0.59,73.5
17,6,1,1,13,28.9,0,0.477,0.628,105.3
9,0,0,1,13,18.9,1,0.918,0.78,98.1
18,6,1,1,3,10.5,0,0.476,0.52,41.3
